open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol
2026-05-18 07:10:00+00:00,1.223,1.223,1.22,1.221,38468.41,1779088499999,46995.61907000,200,16195.97000000,19790.59145000,0,DOTUSDT
2026-05-18 07:15:00+00:00,1.221,1.222,1.218,1.218,174788.31,1779088799999,213268.03135000,317,17107.39000000,20873.19290000,0,DOTUSDT
2026-05-18 07:20:00+00:00,1.218,1.219,1.215,1.218,26985.66,1779089099999,32848.35740000,189,19904.25000000,24230.63901000,0,DOTUSDT
2026-05-18 07:25:00+00:00,1.219,1.223,1.219,1.221,97153.71,1779089399999,118704.62342000,195,31584.69000000,38581.58570000,0,DOTUSDT
2026-05-18 07:30:00+00:00,1.222,1.223,1.22,1.222,27347.2,1779089699999,33424.09496000,151,13496.71000000,16498.45321000,0,DOTUSDT
2026-05-18 07:35:00+00:00,1.221,1.222,1.22,1.221,11163.77,1779089999999,13635.83487000,99,6229.16000000,7609.95713000,0,DOTUSDT
2026-05-18 07:40:00+00:00,1.22,1.221,1.218,1.219,92145.2,1779090299999,112408.78855000,157,5895.01000000,7188.02034000,0,DOTUSDT
2026-05-18 07:45:00+00:00,1.219,1.222,1.219,1.22,22704.9,1779090599999,27696.91732000,130,11185.86000000,13652.87265000,0,DOTUSDT
2026-05-18 07:50:00+00:00,1.222,1.223,1.22,1.223,5084.92,1779090899999,6211.85022000,73,1999.22000000,2442.55840000,0,DOTUSDT
2026-05-18 07:55:00+00:00,1.224,1.225,1.223,1.225,58836.25,1779091199999,72003.37547000,184,52148.78000000,63822.66818000,0,DOTUSDT
2026-05-18 08:00:00+00:00,1.225,1.229,1.225,1.228,31853.24,1779091499999,39070.24715000,122,23280.29000000,28563.43701000,0,DOTUSDT
2026-05-18 08:05:00+00:00,1.229,1.23,1.227,1.229,13551.81,1779091799999,16646.17288000,140,8381.94000000,10297.59285000,0,DOTUSDT
2026-05-18 08:10:00+00:00,1.228,1.229,1.226,1.227,11294.75,1779092099999,13862.97916000,61,518.33000000,636.03211000,0,DOTUSDT
2026-05-18 08:15:00+00:00,1.226,1.227,1.226,1.227,3966.21,1779092399999,4863.54041000,45,2215.55000000,2717.23125000,0,DOTUSDT
2026-05-18 08:20:00+00:00,1.227,1.228,1.226,1.227,3144.32,1779092699999,3858.12870000,51,2044.96000000,2510.07770000,0,DOTUSDT
2026-05-18 08:25:00+00:00,1.227,1.228,1.227,1.227,1366.84,1779092999999,1677.74626000,30,714.21000000,876.96925000,0,DOTUSDT
2026-05-18 08:30:00+00:00,1.227,1.227,1.224,1.227,8314.35,1779093299999,10190.36611000,65,5683.69000000,6967.73239000,0,DOTUSDT
2026-05-18 08:35:00+00:00,1.227,1.227,1.224,1.226,6045.31,1779093599999,7407.98477000,52,1020.83000000,1251.36798000,0,DOTUSDT
2026-05-18 08:40:00+00:00,1.226,1.229,1.225,1.227,242283.4,1779093899999,297467.50385000,554,152834.83000000,187637.74991000,0,DOTUSDT
2026-05-18 08:45:00+00:00,1.228,1.229,1.227,1.228,15865.42,1779094199999,19488.28970000,115,13878.82000000,17049.10711000,0,DOTUSDT
2026-05-18 08:50:00+00:00,1.227,1.233,1.227,1.233,84839.91,1779094499999,104409.11111000,267,52438.82000000,64529.83629000,0,DOTUSDT
2026-05-18 08:55:00+00:00,1.232,1.233,1.231,1.231,9721.84,1779094799999,11973.23276000,79,750.06000000,924.25477000,0,DOTUSDT
2026-05-18 09:00:00+00:00,1.231,1.232,1.227,1.227,23436.84,1779095099999,28826.27467000,135,9617.09000000,11820.03700000,0,DOTUSDT
2026-05-18 09:05:00+00:00,1.227,1.227,1.225,1.226,22294.77,1779095399999,27342.63460000,152,11874.13000000,14566.55272000,0,DOTUSDT
2026-05-18 09:10:00+00:00,1.226,1.227,1.223,1.225,60933.26,1779095699999,74647.38188000,228,29946.13000000,36684.24827000,0,DOTUSDT
