,equity
2026-05-27 07:35:00+00:00,10000.0
2026-05-27 07:40:00+00:00,10000.108991825613
2026-05-27 07:45:00+00:00,10000.108991825613
2026-05-27 07:50:00+00:00,10000.427365241463
2026-05-27 07:55:00+00:00,10000.536112820468
2026-05-27 08:00:00+00:00,10000.536112820468
2026-05-27 08:05:00+00:00,10000.63403249258
2026-05-27 08:10:00+00:00,10001.05963666462
2026-05-27 08:15:00+00:00,10000.950894035104
2026-05-27 08:20:00+00:00,10001.048702845805
2026-05-27 08:25:00+00:00,10001.048702845805
2026-05-27 08:30:00+00:00,10000.63354930895
2026-05-27 08:35:00+00:00,10000.63354930895
2026-05-27 08:40:00+00:00,10000.739645569816
2026-05-27 08:45:00+00:00,10000.323814399522
2026-05-27 08:50:00+00:00,10000.740321014033
2026-05-27 08:55:00+00:00,10001.046341219693
2026-05-27 09:00:00+00:00,10001.046341219693
2026-05-27 09:05:00+00:00,10001.24272897308
2026-05-27 09:10:00+00:00,10001.349500006805
2026-05-27 09:15:00+00:00,10001.767616624698
2026-05-27 09:20:00+00:00,10001.767616624698
2026-05-27 09:25:00+00:00,10002.455293408082
2026-05-27 09:30:00+00:00,10002.749627551095
2026-05-27 09:35:00+00:00,10003.176002215525
2026-05-27 09:40:00+00:00,10003.634723218378
2026-05-27 09:45:00+00:00,10004.052411515799
2026-05-27 09:50:00+00:00,10004.511453382342
2026-05-27 09:55:00+00:00,10004.939362340998
2026-05-27 10:00:00+00:00,10005.234116520385
2026-05-27 10:05:00+00:00,10005.555002797375
2026-05-27 10:10:00+00:00,10005.97224862735
2026-05-27 10:15:00+00:00,10006.58339367231
2026-05-27 10:20:00+00:00,10006.736142617412
2026-05-27 10:25:00+00:00,10006.954368244773
2026-05-27 10:30:00+00:00,10007.61027523854
2026-05-27 10:35:00+00:00,10008.156661473266
2026-05-27 10:40:00+00:00,10008.370762589138
2026-05-27 10:45:00+00:00,10008.829301261829
2026-05-27 10:50:00+00:00,10009.124459896488
2026-05-27 10:55:00+00:00,10009.58331340168
2026-05-27 11:00:00+00:00,10010.074653638936
2026-05-27 11:05:00+00:00,10010.51077496139
2026-05-27 11:10:00+00:00,10010.619810042264
2026-05-27 11:15:00+00:00,10010.619810042264
2026-05-27 11:20:00+00:00,10011.078241723384
2026-05-27 11:25:00+00:00,10011.912498243528
2026-05-27 11:30:00+00:00,10011.912498243528
2026-05-27 11:35:00+00:00,10012.66037347016
2026-05-27 11:40:00+00:00,10013.301731025844
2026-05-27 11:45:00+00:00,10013.836629622587
2026-05-27 11:50:00+00:00,10014.672509140919
2026-05-27 11:55:00+00:00,10015.508458432167
2026-05-27 12:00:00+00:00,10016.346225764531
2026-05-27 12:05:00+00:00,10016.346225764531
2026-05-27 12:10:00+00:00,10016.346225764531
2026-05-27 12:15:00+00:00,10017.198590085414
2026-05-27 12:20:00+00:00,10017.836154438237
2026-05-27 12:25:00+00:00,10017.836154438237
2026-05-27 12:30:00+00:00,10018.368056113635
2026-05-27 12:35:00+00:00,10018.368056113635
2026-05-27 12:40:00+00:00,10018.749853676749
2026-05-27 12:45:00+00:00,10019.387381507082
2026-05-27 12:50:00+00:00,10019.540116070824
2026-05-27 12:55:00+00:00,10019.758216639306
2026-05-27 13:00:00+00:00,10019.758216639306
2026-05-27 13:05:00+00:00,10020.195712904631
2026-05-27 13:10:00+00:00,10020.414542249748
2026-05-27 13:15:00+00:00,10020.414542249748
2026-05-27 13:20:00+00:00,10020.521392479459
2026-05-27 13:25:00+00:00,10021.056905593636
2026-05-27 13:30:00+00:00,10021.16412854362
2026-05-27 13:35:00+00:00,10021.660274901107
2026-05-27 13:40:00+00:00,10021.768278568257
2026-05-27 13:45:00+00:00,10021.768278568257
2026-05-27 13:50:00+00:00,10022.07569477312
2026-05-27 13:55:00+00:00,10022.18322282956
2026-05-27 14:00:00+00:00,10022.718024495667
2026-05-27 14:05:00+00:00,10022.825345600973
2026-05-27 14:10:00+00:00,10023.244886218203
2026-05-27 14:15:00+00:00,10023.663743087665
2026-05-27 14:20:00+00:00,10024.084198781587
2026-05-27 14:25:00+00:00,10024.084198781587
2026-05-27 14:30:00+00:00,10024.191638054886
2026-05-27 14:35:00+00:00,10024.191638054886
2026-05-27 14:40:00+00:00,10024.191638054886
2026-05-27 14:45:00+00:00,10024.488036388359
2026-05-27 14:50:00+00:00,10024.488036388359
2026-05-27 14:55:00+00:00,10024.070349386842
2026-05-27 15:00:00+00:00,10024.438058995232
2026-05-27 15:05:00+00:00,10024.208368976315
2026-05-27 15:10:00+00:00,10024.055210712466
2026-05-27 15:15:00+00:00,10024.161397738004
2026-05-27 15:20:00+00:00,10024.35128524317
2026-05-27 15:25:00+00:00,10024.35128524317
2026-05-27 15:30:00+00:00,10024.546103070112
2026-05-27 15:35:00+00:00,10024.95999845009
2026-05-27 15:40:00+00:00,10025.374938847375
2026-05-27 15:45:00+00:00,10025.162514333362
2026-05-27 15:50:00+00:00,10025.162514333362
2026-05-27 15:55:00+00:00,10025.054040382764
2026-05-27 16:00:00+00:00,10024.638924273431
2026-05-27 16:05:00+00:00,10025.171356763567
2026-05-27 16:10:00+00:00,10025.384295832317
2026-05-27 16:15:00+00:00,10024.96795927518
2026-05-27 16:20:00+00:00,10024.551812826061
