signal_ts_ms,exec_ts_ms,asset,buy_ex,sell_ex,size,buy_cost,sell_proceeds,pnl
1777601306300,1777601306400,ETH,binance,bybit,0.8821920708576672,2000.2,2001.2554713552236,1.055471355223517
1777605587600,1777605587700,BTC,binance,okx,0.02595177822233174,2000.2,2001.7589038280303,1.5589038280302248
1777605587700,1777605587800,BTC,binance,okx,0.02594033722438392,2000.2000000000003,2001.252513618677,1.0525136186768123
1777637801500,1777637801600,ETH,binance,bybit,0.87292026746277,2000.2,2001.5544036796864,1.3544036796863566
1777638306300,1777638306400,ETH,binance,bybit,0.8685418485176162,2000.2,2001.5716481884388,1.3716481884387122
1777643607100,1777643607200,ETH,binance,okx,0.8634273749649233,2000.205864502639,2001.2158792928528,1.010014790213745
1777650630200,1777650630300,ETH,okx,binance,0.8659433153505772,2000.2,2001.9733003697581,1.7733003697580898
1777652766100,1777652766200,ETH,binance,bybit,0.8691910873145907,2000.2,2001.6382177344717,1.4382177344716638
1777655043200,1777655043300,ETH,okx,binance,0.8693082045308345,2000.2,2001.5819036111066,1.3819036111065088
1777669076200,1777669076300,ETH,bybit,binance,0.876481802046585,2000.1999999999998,2001.2295653665021,1.029565366502311
1777671780000,1777671780200,ETH,bybit,binance,0.8737172738273622,2000.3442409138443,2001.8530302699348,1.508789356090574
